Room 1: Price = 50000, Grade = Standard
Room 2: Price = 50000, Grade = Standard
Room 3: Price = 50000, Grade = Standard
Room 4: Price = 50000, Grade = Standard
Room 5: Price = 50000, Grade = Standard
Room 6: Price = 50000, Grade = Standard
Room 7: Price = 50000, Grade = Standard
Room 8: Price = 50000, Grade = Standard
Room 9: Price = 50000, Grade = Standard
Room 10: Price = 50000, Grade = Standard
Room 11: Price = 100000, Grade = Standard
Room 12: Price = 100000, Grade = Standard
Room 13: Price = 100000, Grade = Standard
Room 14: Price = 100000, Grade = Standard
Room 15: Price = 100000, Grade = Standard
Room 16: Price = 100000, Grade = Standard
Room 17: Price = 100000, Grade = Standard
Room 18: Price = 100000, Grade = Standard
Room 19: Price = 100000, Grade = Standard
Room 20: Price = 100000, Grade = Standard
Room 21: Price = 150000, Grade = Standard
Room 22: Price = 150000, Grade = Standard
Room 23: Price = 150000, Grade = Standard
Room 24: Price = 150000, Grade = Standard
Room 25: Price = 150000, Grade = Standard
Room 26: Price = 150000, Grade = Standard
Room 27: Price = 150000, Grade = Standard
Room 28: Price = 150000, Grade = Standard
Room 29: Price = 150000, Grade = Standard
Room 30: Price = 150000, Grade = Standard
Room 31: Price = 200000, Grade = Deluxe
Room 32: Price = 200000, Grade = Deluxe
Room 33: Price = 200000, Grade = Deluxe
Room 34: Price = 200000, Grade = Deluxe
Room 35: Price = 200000, Grade = Deluxe
Room 36: Price = 200000, Grade = Deluxe
Room 37: Price = 200000, Grade = Deluxe
Room 38: Price = 200000, Grade = Deluxe
Room 39: Price = 200000, Grade = Deluxe
Room 40: Price = 200000, Grade = Deluxe
Room 41: Price = 250000, Grade = Deluxe
Room 42: Price = 250000, Grade = Deluxe
Room 43: Price = 250000, Grade = Deluxe
Room 44: Price = 250000, Grade = Deluxe
Room 45: Price = 250000, Grade = Deluxe
Room 46: Price = 250000, Grade = Deluxe
Room 47: Price = 250000, Grade = Deluxe
Room 48: Price = 250000, Grade = Deluxe
Room 49: Price = 250000, Grade = Deluxe
Room 50: Price = 250000, Grade = Deluxe
Room 51: Price = 300000, Grade = Deluxe
Room 52: Price = 300000, Grade = Deluxe
Room 53: Price = 300000, Grade = Deluxe
Room 54: Price = 300000, Grade = Deluxe
Room 55: Price = 300000, Grade = Deluxe
Room 56: Price = 300000, Grade = Deluxe
Room 57: Price = 300000, Grade = Deluxe
Room 58: Price = 300000, Grade = Deluxe
Room 59: Price = 300000, Grade = Deluxe
Room 60: Price = 300000, Grade = Deluxe
Room 61: Price = 350000, Grade = Deluxe
Room 62: Price = 350000, Grade = Deluxe
Room 63: Price = 350000, Grade = Deluxe
Room 64: Price = 350000, Grade = Deluxe
Room 65: Price = 350000, Grade = Deluxe
Room 66: Price = 350000, Grade = Deluxe
Room 67: Price = 350000, Grade = Deluxe
Room 68: Price = 350000, Grade = Deluxe
Room 69: Price = 350000, Grade = Deluxe
Room 70: Price = 350000, Grade = Deluxe
Room 71: Price = 400000, Grade = Suite
Room 72: Price = 400000, Grade = Suite
Room 73: Price = 400000, Grade = Suite
Room 74: Price = 400000, Grade = Suite
Room 75: Price = 400000, Grade = Suite
Room 76: Price = 400000, Grade = Suite
Room 77: Price = 400000, Grade = Suite
Room 78: Price = 400000, Grade = Suite
Room 79: Price = 400000, Grade = Suite
Room 80: Price = 400000, Grade = Suite
Room 81: Price = 450000, Grade = Suite
Room 82: Price = 450000, Grade = Suite
Room 83: Price = 450000, Grade = Suite
Room 84: Price = 450000, Grade = Suite
Room 85: Price = 450000, Grade = Suite
Room 86: Price = 450000, Grade = Suite
Room 87: Price = 450000, Grade = Suite
Room 88: Price = 450000, Grade = Suite
Room 89: Price = 450000, Grade = Suite
Room 90: Price = 450000, Grade = Suite
Room 91: Price = 500000, Grade = Suite
Room 92: Price = 500000, Grade = Suite
Room 93: Price = 500000, Grade = Suite
Room 94: Price = 500000, Grade = Suite
Room 95: Price = 500000, Grade = Suite
Room 96: Price = 500000, Grade = Suite
Room 97: Price = 500000, Grade = Suite
Room 98: Price = 500000, Grade = Suite
Room 99: Price = 500000, Grade = Suite
Room 100: Price = 500000, Grade = Suite
